,nome,data criacao,rg,cpf,valor transacao
436,egrhtjer4f,2022-02-13 17:22:10.386230,452193,306983,282842
437,xap,2022-02-13 17:22:10.386230,919551,305749,107019
438,deita,2022-02-13 17:22:10.386230,721309,523201,131614
439,haha,2022-02-13 17:22:10.386230,777090,837322,380665
440,alou,2022-02-13 17:22:10.386230,998007,821131,839036
441,werterfef,2022-02-13 17:22:10.386230,71014,492594,876256
442,alou,2022-02-13 17:22:10.387236,74175,64539,205170
443,werterfef,2022-02-13 17:22:10.387236,765059,119115,155268
444,haha,2022-02-13 17:22:10.387236,782418,611796,288735
445,egrhtjer4f,2022-02-13 17:22:10.387236,557927,917800,896582
446,toma,2022-02-13 17:22:10.387236,702091,536617,511706
447,wegrerfgfqw,2022-02-13 17:22:10.387236,866201,836176,966451
448,deita,2022-02-13 17:22:10.387236,210864,597442,382164
449,egrhtjer4f,2022-02-13 17:22:10.388228,905720,480118,302239
450,toma,2022-02-13 17:22:10.388228,544587,822213,808016
451,xap,2022-02-13 17:22:10.388228,77970,529972,195333
452,haha,2022-02-13 17:22:10.388228,258243,753651,685080
453,werterfef,2022-02-13 17:22:10.388228,922689,810802,782981
454,haha,2022-02-13 17:22:10.388228,431298,179764,103703
455,haha,2022-02-13 17:22:10.388228,400453,956479,973224
456,haha,2022-02-13 17:22:10.388228,478782,394957,146492
457,deita,2022-02-13 17:22:10.389230,26116,392003,921969
458,deita,2022-02-13 17:22:10.389230,959146,945909,597934
459,rhtrg,2022-02-13 17:22:10.389230,936260,765879,638610
460,xap,2022-02-13 17:22:10.389230,955653,948766,313197
461,deita,2022-02-13 17:22:10.389230,855483,130938,164028
462,toma,2022-02-13 17:22:10.389230,269725,50526,376858
463,toma,2022-02-13 17:22:10.389230,547772,981658,106204
464,rhtrg,2022-02-13 17:22:10.389230,264486,826041,296930
465,werterfef,2022-02-13 17:22:10.389230,499604,569716,149126
466,haha,2022-02-13 17:22:10.390229,561600,300746,848664
467,alou,2022-02-13 17:22:10.390229,476124,733434,533996
468,deita,2022-02-13 17:22:10.390229,792544,528353,651735
469,werterfef,2022-02-13 17:22:10.390229,359245,404224,578984
470,toma,2022-02-13 17:22:10.390229,364829,749602,595166
471,werterfef,2022-02-13 17:22:10.390229,718622,573708,53364
472,wegrerfgfqw,2022-02-13 17:22:10.390229,417430,856342,425285
473,xap,2022-02-13 17:22:10.390229,212811,478394,637750
474,werterfef,2022-02-13 17:22:10.391228,137032,341272,596820
475,egrhtjer4f,2022-02-13 17:22:10.391228,906480,824739,188123
476,xap,2022-02-13 17:22:10.391228,623064,404519,716566
477,werterfef,2022-02-13 17:22:10.391228,408304,181961,591887
478,rhtrg,2022-02-13 17:22:10.391228,4336,425331,334015
479,werterfef,2022-02-13 17:22:10.391228,412087,635686,113596
480,alou,2022-02-13 17:22:10.391228,765416,237828,250483
481,haha,2022-02-13 17:22:10.391228,792618,772632,149499
482,deita,2022-02-13 17:22:10.392230,956781,732762,693782
483,egrhtjer4f,2022-02-13 17:22:10.392230,771793,287423,608909
484,xap,2022-02-13 17:22:10.392230,866897,137322,680095
485,xap,2022-02-13 17:22:10.392230,504406,186639,883073
486,rhtrg,2022-02-13 17:22:10.392230,543489,461701,503324
487,wegrerfgfqw,2022-02-13 17:22:10.392230,40598,779344,736753
488,xap,2022-02-13 17:22:10.392230,519585,68910,437419
489,egrhtjer4f,2022-02-13 17:22:10.393230,157653,336611,514235
490,xap,2022-02-13 17:22:10.393230,373639,711529,785525
491,toma,2022-02-13 17:22:10.393230,43695,836449,220694
492,toma,2022-02-13 17:22:10.393230,252969,773977,76677
493,xap,2022-02-13 17:22:10.393230,46653,861686,285333
494,deita,2022-02-13 17:22:10.393230,234153,727375,100671
495,rhtrg,2022-02-13 17:22:10.393230,676143,736921,290308
496,egrhtjer4f,2022-02-13 17:22:10.393230,320492,174798,567816
497,rhtrg,2022-02-13 17:22:10.394228,429501,870870,514347
498,haha,2022-02-13 17:22:10.394228,575233,799161,328448
499,rhtrg,2022-02-13 17:22:10.394228,808353,57889,568487
